年月,年,月,进口额,出口额
202507,2025,7,2283385485.0,4582013502.0
202508,2025,8,2217552399.0,4533354616.0
202509,2025,9,2384035104.0,3888458363.0
202510,2025,10,2343417333.0,3809378643.0
202511,2025,11,2348919292.0,3651741073.0
202512,2025,12,2606174097.0,4362855343.0
202601,2026,1,2432704820.0,3974199612.9999995
202602,2026,2,1832838902.9999995,2905170878.9999995
202603,2026,3,2187439645.0,4256339775.0000014
202604,2026,4,2736733566.0000005,3931732841.999997
202605,2026,5,2694416606.0,4067598502.000003
202606,2026,6,2619656331.0,4562574530.0
