2026-07-12 17:56:26 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://www.hkmpdb.gov.hk/en/news.html: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:47 | INFO    | crawler.pipeline | [hket] crawling 2 list page(s)
2026-07-22 06:02:48 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:48 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://www.hket.com/: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:52 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:54 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:54 | WARNING | crawler.pipeline | fetch attempt 2/3 failed for https://www.hket.com/: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:00 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:02 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:02 | WARNING | crawler.pipeline | fetch attempt 3/3 failed for https://www.hket.com/: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:02 | WARNING | crawler.pipeline | [hket] could not load list page https://www.hket.com/
2026-07-22 06:03:04 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:04 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://service.hket.com/search/result?dis=contenttagid&keyword=2467: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:08 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:10 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:10 | WARNING | crawler.pipeline | fetch attempt 2/3 failed for https://service.hket.com/search/result?dis=contenttagid&keyword=2467: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:16 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:18 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:18 | WARNING | crawler.pipeline | fetch attempt 3/3 failed for https://service.hket.com/search/result?dis=contenttagid&keyword=2467: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:18 | WARNING | crawler.pipeline | [hket] could not load list page https://service.hket.com/search/result?dis=contenttagid&keyword=2467
2026-07-22 06:03:18 | INFO    | crawler.pipeline | [hket] 0 candidates, 0 new to fetch
2026-07-22 06:03:18 | INFO    | crawler.pipeline | [hket] single cycle done, 0 new article(s)
2026-07-22 06:03:18 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:03:18 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:11:03 | INFO    | crawler.pipeline | [hket] crawling 2 list page(s)
2026-07-22 06:11:13 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:12:58 | INFO    | crawler.pipeline | [hket] 0 candidates, 0 new to fetch
2026-07-22 06:12:58 | INFO    | crawler.pipeline | [hket] single cycle done, 0 new article(s)
2026-07-22 06:12:58 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:12:58 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:15:21 | INFO    | crawler.pipeline | [hket] crawling 2 list page(s)
2026-07-22 06:15:24 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:17:29 | INFO    | crawler.pipeline | [hket] 0 candidates, 0 new to fetch
2026-07-22 06:17:29 | INFO    | crawler.pipeline | [hket] single cycle done, 0 new article(s)
2026-07-22 06:17:29 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:17:29 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:18:41 | INFO    | crawler.pipeline | [takungpao] crawling 2 list page(s)
2026-07-22 06:18:45 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:19:02 | INFO    | crawler.pipeline | [takungpao] 0 candidates, 0 new to fetch
2026-07-22 06:19:02 | INFO    | crawler.pipeline | [takungpao] single cycle done, 0 new article(s)
2026-07-22 06:19:02 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:19:02 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:31:57 | INFO    | crawler.pipeline | [cnn] crawling 2 list page(s)
2026-07-22 06:32:01 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:33:55 | INFO    | crawler.pipeline | [cnn] 0 candidates, 0 new to fetch
2026-07-22 06:33:55 | INFO    | crawler.pipeline | [cnn] single cycle done, 0 new article(s)
2026-07-22 06:33:55 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:33:56 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:35:54 | INFO    | crawler.pipeline | [manifold_times] crawling 1 list page(s)
2026-07-22 06:35:59 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:36:11 | INFO    | crawler.pipeline | [manifold_times] 54 candidates, 54 new to fetch
2026-07-22 06:36:16 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Singapore: High Court to hear Norvic Shipping Asia winding up applicat (8256252312c31c49.json)
2026-07-22 06:36:26 | INFO    | crawler.pipeline | [manifold_times] saved [OK] World Fuel and partners complete first green methanol bunkering of car (ea3b9999338b899f.json)
2026-07-22 06:36:37 | INFO    | crawler.pipeline | [manifold_times] saved [OK] HPA and MB Energy develop safety concept for STS ammonia bunkering (e0937e8c83b8316a.json)
2026-07-22 06:36:45 | INFO    | crawler.pipeline | [manifold_times] saved [OK] GCMD: Project CAPTURED achieves two regulatory milestones for onboard  (748969fa0bc241ce.json)
2026-07-22 06:36:57 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Alkagesta highlights key insights of Malta bunkering market in 2026 (10e42e81c5b4e0c5.json)
2026-07-22 06:36:59 | INFO    | crawler.pipeline | [manifold_times] single cycle done, 5 new article(s)
2026-07-22 06:36:59 | INFO    | crawler.pipeline | Final stats: {'total': 10, 'per_site': {'hk_marine_dept': 5, 'manifold_times': 5}}
2026-07-22 06:36:59 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:37:34 | INFO    | crawler.pipeline | [people_daily] crawling 3 list page(s)
2026-07-22 06:37:38 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:38:06 | INFO    | crawler.pipeline | [people_daily] 269 candidates, 269 new to fetch
2026-07-22 06:38:10 | INFO    | crawler.pipeline | [people_daily] saved [OK] 深刻把握推动科技创新和产业创新深度融合的内在逻辑（深入学习贯彻习近平新时代中国特色社会主义思想） --观点--人民网 (01a46dda35b21a61.json)
2026-07-22 06:38:17 | INFO    | crawler.pipeline | [people_daily] saved [OK] 加快实现高水平科技自立自强 --时政--人民网 (72f62d4f4cc69b84.json)
2026-07-22 06:38:24 | INFO    | crawler.pipeline | [people_daily] saved [OK] 扎扎实实以科技创新支撑和引领中国式现代化 --观点--人民网 (7cdc300544a49525.json)
2026-07-22 06:38:32 | INFO    | crawler.pipeline | [people_daily] saved [OK] 加快推进高水平科技自立自强 --观点--人民网 (2280a4bd18eafff8.json)
2026-07-22 06:38:40 | INFO    | crawler.pipeline | [people_daily] saved [OK] 向着到2035年建成科技强国的目标坚定迈进 --观点--人民网 (2ba06ef049ee6562.json)
2026-07-22 06:38:43 | INFO    | crawler.pipeline | [people_daily] single cycle done, 5 new article(s)
2026-07-22 06:38:43 | INFO    | crawler.pipeline | Final stats: {'total': 15, 'per_site': {'hk_marine_dept': 5, 'manifold_times': 5, 'people_daily': 5}}
2026-07-22 06:38:43 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:44:34 | INFO    | crawler.pipeline | [hket] crawling 2 list page(s)
2026-07-22 06:44:38 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:46:46 | INFO    | crawler.pipeline | [hket] 0 candidates, 0 new to fetch
2026-07-22 06:46:46 | INFO    | crawler.pipeline | [hket] single cycle done, 0 new article(s)
2026-07-22 06:46:46 | INFO    | crawler.pipeline | [manifold_times] crawling 1 list page(s)
2026-07-22 06:46:58 | INFO    | crawler.pipeline | [manifold_times] 54 candidates, 49 new to fetch
2026-07-22 06:47:03 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Singapore withdraws remaining 127 charges against Hin Leong founder OK (c06e3749545c4347.json)
2026-07-22 06:47:10 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Singapore: Coastal Logistics Pte Ltd to be wound up voluntarily (ffdbefa998612e67.json)
2026-07-22 06:47:20 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Singapore: Liquidator of Nan Shan Maritime Pte Ltd issues notice of di (a034649c3d065e34.json)
2026-07-22 06:47:30 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Singapore: Liquidator of Selco (Shipyard) Pte Limited issues notice of (0d54a21f9b7af222.json)
2026-07-22 06:48:21 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Singapore: Liquidator of Selco (Shipyard) Pte Limited issues notice of (78ced418e66c24cb.json)
2026-07-22 06:48:25 | INFO    | crawler.pipeline | [manifold_times] single cycle done, 5 new article(s)
2026-07-22 06:48:25 | INFO    | crawler.pipeline | [hk_marine_dept] crawling 1 list page(s)
2026-07-22 06:48:35 | INFO    | crawler.pipeline | [hk_marine_dept] 187 candidates, 182 new to fetch
2026-07-22 06:48:38 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] AM730 8 January 2026 (Chinese Only) (3652b899ab295c31.json)
2026-07-22 06:48:45 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] Speech by STL at International Bunker Industry Association Annual Conv (c5c5b00d7bd6cd36.json)
2026-07-22 06:48:52 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] Speech by STL at Greater Bay Maritime Forum 2025 (with photo) (95473fe7a4f15307.json)
2026-07-22 06:48:58 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] Speech by STL at Hong Kong Maritime and Port Development Board Flagshi (de504db0f3a2497b.json)
2026-07-22 06:49:05 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] STL meets with President of International Union of Marine Insurance (w (e94d83e62b2cbdb6.json)
2026-07-22 06:49:09 | INFO    | crawler.pipeline | [hk_marine_dept] single cycle done, 5 new article(s)
2026-07-22 06:49:09 | INFO    | crawler.pipeline | [scmp] crawling 2 list page(s)
2026-07-22 06:50:55 | INFO    | crawler.pipeline | [scmp] 0 candidates, 0 new to fetch
2026-07-22 06:50:55 | INFO    | crawler.pipeline | [scmp] single cycle done, 0 new article(s)
2026-07-22 06:50:55 | INFO    | crawler.pipeline | [cnn] crawling 2 list page(s)
2026-07-22 06:52:46 | INFO    | crawler.pipeline | [cnn] 0 candidates, 0 new to fetch
2026-07-22 06:52:46 | INFO    | crawler.pipeline | [cnn] single cycle done, 0 new article(s)
2026-07-22 06:52:46 | INFO    | crawler.pipeline | [reuters] crawling 2 list page(s)
2026-07-22 06:54:41 | INFO    | crawler.pipeline | [reuters] 0 candidates, 0 new to fetch
2026-07-22 06:54:41 | INFO    | crawler.pipeline | [reuters] single cycle done, 0 new article(s)
2026-07-22 06:54:41 | INFO    | crawler.pipeline | [afp] crawling 1 list page(s)
2026-07-22 06:54:54 | INFO    | crawler.pipeline | [afp] 0 candidates, 0 new to fetch
2026-07-22 06:54:54 | INFO    | crawler.pipeline | [afp] single cycle done, 0 new article(s)
2026-07-22 06:54:54 | INFO    | crawler.pipeline | [people_daily] crawling 3 list page(s)
2026-07-22 06:55:16 | INFO    | crawler.pipeline | [people_daily] 270 candidates, 265 new to fetch
2026-07-22 06:55:20 | INFO    | crawler.pipeline | [people_daily] saved [OK] “产业创新要提出科学问题”（人民论坛） --观点--人民网 (82ca85bc046bcd40.json)
2026-07-22 06:55:28 | INFO    | crawler.pipeline | [people_daily] saved [OK] “努力让每个孩子都能享有公平而有质量的教育” --时政--人民网 (f4cac6b12ce86a6d.json)
2026-07-22 06:55:37 | INFO    | crawler.pipeline | [people_daily] saved [OK] 中国外贸增势强劲、走势稳健（年中经济观察） --经济·科技--人民网 (761879fc61b2ddaa.json)
2026-07-22 06:55:46 | INFO    | crawler.pipeline | [people_daily] saved [OK] 火热“中国游”彰显开放中国新气象（和音） --国际--人民网 (38456f2226d40d0b.json)
2026-07-22 06:55:53 | INFO    | crawler.pipeline | [people_daily] saved [OK] 提升大灾巨灾应对处置能力（治理之道） --观点--人民网 (06c99552612f8d3e.json)
2026-07-22 06:55:57 | INFO    | crawler.pipeline | [people_daily] single cycle done, 5 new article(s)
2026-07-22 06:55:57 | INFO    | crawler.pipeline | [takungpao] crawling 2 list page(s)
2026-07-22 06:56:17 | INFO    | crawler.pipeline | [takungpao] 0 candidates, 0 new to fetch
2026-07-22 06:56:17 | INFO    | crawler.pipeline | [takungpao] single cycle done, 0 new article(s)
2026-07-22 06:56:17 | INFO    | crawler.pipeline | Final stats: {'total': 30, 'per_site': {'hk_marine_dept': 10, 'manifold_times': 10, 'people_daily': 10}}
2026-07-22 06:56:17 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-30 03:19:31 | INFO    | crawler.pipeline | [reuters] crawling 2 list page(s)
2026-07-30 03:19:31 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): No module named 'undetected_chromedriver'
2026-07-30 03:22:40 | INFO    | crawler.pipeline | [reuters] crawling 2 list page(s)
2026-07-30 03:23:44 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): Message: session not created: cannot connect to chrome at 127.0.0.1:42001
from chrome not reachable; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception
Stacktrace:
#0 0x55c5f591083a <unknown>
#1 0x55c5f5283d80 <unknown>
#2 0x55c5f526f76c <unknown>
#3 0x55c5f52c8a5e <unknown>
#4 0x55c5f52bdd6f <unknown>
#5 0x55c5f530e3be <unknown>
#6 0x55c5f530daac <unknown>
#7 0x55c5f52ccd32 <unknown>
#8 0x55c5f52cdbb1 <unknown>
#9 0x55c5f58d5bc0 <unknown>
#10 0x55c5f58d423a <unknown>
#11 0x55c5f58bec65 <unknown>
#12 0x55c5f58d4efa <unknown>
#13 0x55c5f58a6b60 <unknown>
#14 0x55c5f58fc218 <unknown>
#15 0x55c5f58fc3b5 <unknown>
#16 0x55c5f590f3ee <unknown>
#17 0x7fc868b54609 start_thread

2026-07-30 03:23:47 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: session not created: Chrome instance exited. Examine ChromeDriver verbose log to determine the cause.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception
Stacktrace:
#0 0x55a7ae519c0a <unknown>
#1 0x55a7adf0e649 <unknown>
#2 0x55a7adf4c3dc <unknown>
#3 0x55a7adf48f83 <unknown>
#4 0x55a7adf977d2 <unknown>
#5 0x55a7adf96f2c <unknown>
#6 0x55a7adf566d9 <unknown>
#7 0x55a7adf574f1 <unknown>
#8 0x55a7ae4df5db <unknown>
#9 0x55a7ae4de2e4 <unknown>
#10 0x55a7ae4ca974 <unknown>
#11 0x55a7ae4dea82 <unknown>
#12 0x55a7ae4b44f7 <unknown>
#13 0x55a7ae506378 <unknown>
#14 0x55a7ae506566 <unknown>
#15 0x55a7ae518777 <unknown>
#16 0x7f3a74c3caa4 <unknown>
#17 0x7f3a74cc9c6c <unknown>

2026-07-30 03:23:47 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://www.reuters.com/business/: Could not start Chrome driver: Message: session not created: Chrome instance exited. Examine ChromeDriver verbose log to determine the cause.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception
Stacktrace:
#0 0x55a7ae519c0a <unknown>
#1 0x55a7adf0e649 <unknown>
#2 0x55a7adf4c3dc <unknown>
#3 0x55a7adf48f83 <unknown>
#4 0x55a7adf977d2 <unknown>
#5 0x55a7adf96f2c <unknown>
#6 0x55a7adf566d9 <unknown>
#7 0x55a7adf574f1 <unknown>
#8 0x55a7ae4df5db <unknown>
#9 0x55a7ae4de2e4 <unknown>
#10 0x55a7ae4ca974 <unknown>
#11 0x55a7ae4dea82 <unknown>
