month,hongkong_export,hongkong_import,mainland_export,mainland_import,usa_export,usa_import,vietnam_export,vietnam_import
2023-01,-0.23837837837837839,-0.24324324324324326,-0.21910910910910905,-0.2590315315315316,-0.21891891891891893,-0.23351351351351357,0.0,0.0
2023-02,-0.29700000000000004,-0.2655,-0.1750925925925926,-0.2667291666666667,-0.15300000000000002,-0.19350000000000003,-0.0675,-0.06149999999999999
2023-03,-0.12422535211267607,-0.10901408450704227,-0.12250912884715702,-0.15791079812206574,-0.11661971830985915,-0.1546478873239437,-0.04816901408450704,-0.038873239436619716
2023-04,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2023-05,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2023-06,0.612,1.4400000000000002,-1.5533333333333337,-1.9333333333333336,-2.8800000000000003,-1.62,0.0,0.0
2023-07,0.10588235294117647,0.23823529411764707,-0.4568627450980393,-0.4975490196078432,-0.5294117647058824,-0.34411764705882353,0.0,0.0
2023-08,0.16941176470588235,0.39705882352941174,-0.48224400871459705,-0.6752450980392157,-0.9,-0.47647058823529415,0.0,0.0
2023-09,0.12375,0.28125,-0.3775462962962964,-0.49088541666666674,-0.50625,-0.28125,0.0,0.0
2023-10,0.06912,0.1719,-0.19157777777777782,-0.25375000000000003,-0.333,-0.18359999999999999,0.1683,0.0
2023-11,0.08747999999999999,0.20070000000000002,-0.22868518518518524,-0.28758333333333336,-0.387,-0.25704,0.2115,0.0
2023-12,0.07272000000000002,0.3438,-0.18381111111111115,-0.2416666666666667,-0.3114,-0.19872,0.0,-0.315
2024-01,0.05419354838709679,0.2593548387096774,-0.14939466348068503,-0.19619175627240146,-0.2438709677419355,-0.15561290322580645,0.0,-0.24
2024-02,0.06264000000000002,0.2808,-0.1814787878787879,-0.19816666666666669,-0.25379999999999997,-0.22082666666666673,-0.056159999999999995,-0.25200000000000006
2024-03,0.09108000000000002,0.4266,-0.3037533333333333,-0.30570833333333336,-0.4446000000000001,-0.40011034482758606,-0.08784,-0.40140000000000003
2024-04,-0.3528,0.0,-0.23274545454545456,-0.3589,-0.31140000000000007,-0.3316296296296295,-0.0648,-0.315
2024-05,-0.29700000000000004,-0.2916,-0.2167727272727273,-0.3181999999999999,-0.2502000000000001,-0.2538666666666666,-0.05688,-0.261
2024-06,-0.4248,-0.405,-0.28487500000000004,-0.44954999999999995,0.16772727272727272,-0.11106428571428571,-0.07884,-0.3618
2024-07,-0.33840000000000003,-0.324,-0.16971428571428573,-0.3696,0.13172727272727275,-0.0854222222222222,-0.06444,-0.28800000000000003
2024-08,-0.342,-0.29700000000000004,-0.15891428571428573,-0.3210666666666666,0.11536363636363636,-0.08450370370370369,-0.063,-0.2628
2024-09,-0.5022000000000001,-0.48240000000000005,-0.3198857142857144,-0.5317599999999999,0.10176923076923078,-0.1295444444444445,-0.2334125,-0.424
2024-10,-0.3456,-0.3114,-0.24624000000000007,-0.38294999999999996,-0.0460421052631579,-0.16022222222222218,-0.1588625,-0.28796666666666665
2024-11,-0.4165333333333333,-0.30537499999999995,-0.014038888888888889,0.3042181818181819,0.3393428571428571,-0.024951219512195144,0.17504117647058823,-0.10981999999999999
2024-12,-0.20564000000000002,-0.161875,-0.016304761904761902,0.1411739130434783,0.16104827586206893,-0.005454347826086958,0.07502777777777778,-0.05881999999999999
2025-01,-0.36403333333333343,-0.363175,-0.26549374999999975,-0.11885217391304347,-0.01640689655172413,-0.19167549019607824,0.10900000000000001,-0.05915999999999999
2025-02,-0.4649666666666668,-0.44654000000000005,-0.48796363636363715,-0.47217692307692305,-0.05801249999999999,-0.3272706293706297,0.09225000000000001,-0.16975714285714286
2025-03,-0.543957142857143,-0.5362066666666667,-0.5672082191780834,-0.5812888888888887,-0.08494545454545453,-0.40276855345912016,0.22628571428571434,0.010687500000000008
2025-04,-0.8312971698113213,-0.813416666666667,-0.8319076642335784,-0.8067821052631577,-0.5793725490196077,-0.6982605633802833,-0.28853999999999996,-0.4695800000000001
2025-05,-0.5583106557377051,-0.531661855670103,-0.6242472843450493,-0.5264290909090903,-0.3541393162393161,-0.4988364197530877,-0.13219514563106802,-0.24111230769230788
2025-06,-0.3556282472949141,-0.328011179496328,-0.3743570068491212,-0.31114272166903717,-0.21251209887573516,-0.3023621182157776,-0.08020592020592025,-0.14068620859665645
2025-07,-0.4835911111111112,-0.44443557692307695,-0.5216566265060252,-0.43436521739130385,-0.29549999999999993,-0.43081169590643376,-0.13503223140495876,-0.20452941176470604
2025-08,-0.2805931972789118,-0.2406106194690266,-0.3109526011560697,-0.2441290322580643,-0.16890458015267176,-0.2516066666666672,-0.10525882352941175,-0.12459740259740265
2025-09,-0.3556569536423844,-0.3220683760683761,-0.3866156250000005,-0.3112703999999997,-0.19855606060606057,-0.28875501355013616,-0.12100437956204378,-0.14336666666666673
2025-10,-0.38704774193548414,-0.37893333333333334,-0.41152139037433244,-0.3849191999999997,-0.26131212121212116,-0.32931071428571507,-0.13720218978102192,-0.18630000000000005
2025-11,-0.23991794871794883,-0.23268376068376073,-0.29353085106383,-0.22694399999999984,-0.15840909090909092,-0.23139336734693924,-0.09789270072992702,-0.12455128205128206
2025-12,-0.19213161290322592,-0.19011965811965817,-0.22589438502673811,-0.1957391999999999,-0.1351757575757576,-0.17777666666666705,-0.0791029411764706,-0.10565384615384617
